Section 4.3 Modifications under water stress
Section 4.3.1 Atmospheric CO2 budget
,CO2_min(ppm),,gs_12h(mm.s-1),,Anet_int(gCO2.m-2.d-1),,LE_int(MJ.m-2.d-1),,SH_int(MJ.m-2.d-1),,h_max(m),,wce_int(gCO2.m-2.d-1),,tm_max(K),,Resp_int(gCO2.m-2.d-1),,wce_h_int(ppm),,wcs_h_int,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
2DIM_SA_thetam0_284-290_cc_0-30_SMI=0.8/Results_thetam0_cc.dat, 346.3,   1.1,  13.3,   0.1, -69.6,   2.4,  11.0,   0.6,   3.7,   0.4,  1137,    48, -15.5,   1.7, 298.9,   1.4,   4.2,   0.4, -24.4,   1.6, -50.9,   2.5
2DIM_SA_thetam0_284-290_cc_0-30_SMI=0.2/Results_thetam0_cc.dat, 365.6,   0.4,   1.5,   0.2, -20.6,   0.3,   3.9,   0.1,   9.5,   0.6,  1592,    43, -47.5,   1.2, 303.1,   1.7,   6.4,   0.7, -45.3,   0.4, -10.7,   0.1



Section 4.3.2 Ecosystem WUE
,WUEeco_ave(g{C}.kg{H2O}-1),,AF(%),,TF(%),,SH_int(MJ.m-2.d-1),,h_max(m),,tm_max(K),,WUEplt_ave(?),,NEE(gCO2.m-2.d-1),,LE_int(MJ.m-2.d-1),,Anet(gCO2.m-2.d-1),,LEveg_int(MJ.m-2.d-1),,Resp(gCO2.m-2.d-1),,Evap(MJ.m-2.d-1),,CO2_diff,,VPD,,gcco2_gc,,qsat,,qmxl(g.kg-1),
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
2DIM_SA_cc_0-30_gammatheta_2-8_SMI=0.8/Results_cc_ga.dat,  4.78,  0.08,  94.6,   0.1,  96.6,   0.0,  4.01,  0.24,  1649,   415, 297.1,   0.7,  6.62,  0.09,-64.22,  1.93, 10.64,  0.44,-68.07,  2.04, 10.28,  0.43,  3.85,  0.13,  0.36,  0.01,133.18,  2.34,  8.69,  0.27,  1.44,  0.00,  9.06,  0.42,  9.06,  0.42
2DIM_SA_cc_0-30_gammatheta_2-8_SMI=0.2/Results_cc_ga.dat,  2.98,  0.08,  78.7,   0.8,  97.1,   0.0,  9.72,  0.54,  2231,   533, 300.3,   1.3,  5.50,  0.05,-14.90,  0.19,  3.83,  0.10,-20.47,  0.37,  3.72,  0.10,  5.56,  0.35,  0.11,  0.00,194.30,  9.46, 14.72,  0.89,  1.58,  0.00,  8.05,  0.25,  8.05,  0.25



