UTC(hours),Swin(W.m-2),Qnet(W.m-2),thetam(K),qm(g.kg-1),GR1(W.m-2),GR2(W.m-2),um(m.s-1),cm(ppm),NEE(mgCO2.m-2.s-1),SH(W.m-2),LE(W.m-2),ResEnergy(W.m-2),bowen_ratio,correctedSH(W.m-2),correctedLE(W.m-2),correctedLEbis(W.m-2),evaporative_fraction,corrected2SH(W.m-2),corrected2LE(W.m-2),ra(s.m-1),Tsoil1(K),Tsoil2(K),rs(s.m-1),SWnet(W.m-2),LWnet(W.m-2),qerr(g.kg-1)
-1.0,0.0,-36.94,285.01,7.63,-23.91,-31.08,0.42,548.70,0.19,-0.30,0.32,-13.05,-0.92,11.70,12.32,-24.72,12.38,148.20,-161.23,15,289.57,289.11,6751,-0.09,-36.85,0.10
-0.5,0.0,-30.58,284.76,7.54,-20.89,-28.69,0.51,491.40,0.12,-2.98,-0.93,-5.77,3.20,-21.47,-19.42,11.78,0.24,-7.38,-2.30,23,289.41,289.12,-2177,-0.30,-30.28,0.10
0.0,0.0,-26.80,284.57,7.48,-20.47,-27.60,0.42,510.90,-0.41,0.35,1.17,-7.85,0.30,-2.00,-1.18,-4.34,0.77,-1.46,-4.88,14,289.26,289.13,1739,-0.45,-26.35,0.10
0.5,0.0,-24.98,284.42,7.43,-19.98,-27.65,0.54,-9999.00,-9999.00,-2.57,-3.82,1.4,0.67,-1.63,-2.89,-3.36,0.60,-2.01,-2.99,14,289.12,289.14,-545,-0.20,-24.78,0.10
1.0,0.0,-23.57,284.23,7.36,-20.20,-27.50,0.48,507.90,-9999.00,-4.11,-1.83,2.57,2.25,1.68,3.97,-5.05,0.31,-2.33,-1.04,12,288.99,289.14,-1086,-0.36,-23.21,0.10
1.5,0.0,-17.62,284.29,7.42,-18.18,-25.73,0.46,456.60,0.16,-4.28,0.11,4.74,-40.09,-194.25,-189.86,194.89,-0.03,0.58,-0.01,17,288.87,289.15,18027,-0.44,-17.18,0.10
2.0,0.0,-12.02,284.55,7.59,-13.76,-20.21,0.24,459.90,0.17,1.29,4.65,-4.2,0.28,0.13,3.49,1.62,0.78,0.38,1.36,6,288.75,289.16,386,-0.76,-11.26,0.10
2.5,0.0,-12.36,285.31,8.03,-10.06,-14.79,0.60,452.60,0.24,-13.42,3.91,7.21,-3.43,-38.15,-20.81,35.85,-0.41,-3.24,0.95,8,288.65,289.17,439,-0.58,-11.78,0.11
3.0,0.0,-17.93,285.45,8.09,-13.35,-18.29,0.68,453.00,0.16,-12.07,-0.03,7.52,462.27,3464.75,3476.79,-3468.81,0.00,-4.57,-0.01,9,288.57,289.18,-68969,-0.07,-17.86,0.11
3.5,0.0,-19.18,285.01,7.85,-15.53,-21.22,0.63,446.20,0.23,-14.92,3.66,7.61,-4.07,-45.93,-27.34,42.28,-0.33,-4.83,1.19,9,288.51,289.18,474,0.01,-19.19,0.11
4.0,0.0,-17.38,284.45,7.56,-17.62,-23.87,0.69,453.50,0.02,-4.51,0.36,4.39,-12.49,-59.30,-54.43,59.56,-0.09,0.27,-0.02,13,288.45,289.18,4882,-0.04,-17.34,0.10
4.5,9.7,-10.18,284.22,7.46,-16.36,-22.97,0.75,451.80,0.08,-5.12,0.08,11.22,-66.25,-748.20,-743.01,754.60,-0.02,6.28,-0.09,13,288.37,289.19,23179,8.12,-18.30,0.10
5.0,31.6,7.02,284.28,7.51,-13.81,-19.80,0.66,440.90,0.08,-7.44,1.54,26.72,-4.83,-136.53,-127.55,157.34,-0.26,26.26,-5.44,10,288.29,289.19,1229,26.12,-19.10,0.10
5.5,106.4,61.28,284.96,7.90,-5.44,-9.95,0.68,433.10,0.04,-12.90,14.21,65.41,-0.91,-72.28,-45.17,139.00,10.85,-657.01,723.73,6,288.22,289.19,143,82.68,-21.40,0.11
