DOY,average_T,std_T
-14.,0.8,2.2
15.,-0.5,2.9
45.,-0.6,3.1
74.,1.5,1.9
105.,3.3,1.5
135.,7.3,1.2
166.,10.2,0.9
196.,12.2,1.1
227.,11.9,1.1
258.,9.7,1.6
288.,6.6,1.6
319.,3.0,1.7
349.,0.8,2.2
380.,-0.5,2.9
