DOY,average_T,std_T
-14.,3.2,2.1
15.,2.1,2.6
45.,2.3,2.7
74.,5.3,1.9
105.,8.4,1.4
135.,12.6,1.5
166.,15.4,1.2
196.,17.1,1.6
227.,16.8,1.3
258.,14.2,1.3
288.,10.4,1.3
319.,5.9,1.6
349.,3.2,2.1
380.,2.1,2.6
